 ,Sub-module,Type,Technology,Country/Region (2C),Module (1C),Sector (2C),Fuel (3C),Technology/Destination (2C),Type (2C),Technology code,Input,Input code,Output,Output code,Comments,,,Links to water module
Energy,Primary,Fuel supply,Biomass/biofuel supply - buildings,EU,E,BD,BIO,PS,00,EUEBDBIOPS00,Biomass/biofuel,EUEBIO,Biomass/biofuel buildings,EUBBIO,,,,
Energy,Primary,Fuel supply,Biomass/biofuel supply - agriculture,EU,E,AG,BIO,PS,00,EUEAGBIOPS00,Biomass/biofuel,EUEBIO,Biomass/biofuel industry,EULBIO,,,,
Energy,Primary,Fuel supply,Biomass/biofuel supply - industry,EU,E,IN,BIO,PS,00,EUEINBIOPS00,Biomass/biofuel,EUEBIO,Biomass/biofuel industry,EUIBIO,,,,
Energy,Primary,Fuel supply,Biomass/biofuel supply - shipping/maritime,EU,E,MR,BIO,PS,00,EUEMRBIOPS00,Biomass/biofuel,EUEBIO,Biomass/biofuel industry,EUMBIO,,,,
Energy,Primary,Fuel supply,Hydrogen supply/imports,EU,E,PS,HY2,00,00,EUEPSHY20000,,,Hydrogen,EUEHY2,,,,
Energy,Primary,Fuel supply,Hydrogen supply - transport,EU,E,PF,HY2,PS,00,EUEPFHY2PS00,Hydrogen,EUEHY2,Hydrogen transport,EUTHY2,,,,
Energy,Primary,Fuel supply,Hydrogen supply - industry,EU,E,IN,HY2,PS,00,EUEINHY2PS00,Hydrogen,EUEHY2,Hydrogen industry,EUIHY2,,,,
Energy,Primary,Fuel supply,Hydrogen and syn fuels supply - shipping/maritime,EU,E,MR,HY2,PS,00,EUEMRHY2PS00,Hydrogen,EUEHY2,Hydrogen industry,EUMHY2,,,,
Energy,Primary,Fuel supply,Biofuel blending - transport,EU,E,PF,BIO,BL,00,EUEPFBIOBL00,Diesel/Gasoline,EUTDSL/EUEGSL & EUTBIO,Blended diesel or gasoline,EUTDSB/EUTGSB,,,,
Energy,Primary,Fuel supply,Biofuel blending - shipping/maritime,EU,E,MR,BIO,BL,00,EUEMRBIOBL00,Oil and biofuel,EUMOIL & EUMBIO,Blended bunkering oil with biofuel,EUMOIB,,,,
Energy,Transformation,Fuel transformation,Electrolysis,EU,E,TR,HY2,AL,ER,EUETRHY2ALER,Electricity,EUESEL,Hydrogen,EUEHY2,,,,
Energy,Transformation,Fuel transformation,Steam methane reforming,EU,E,TR,HY2,MR,00,EUETRHY2MR00,Natural gas,EUENGS,Hydrogen,EUEHY2,,,,
Energy,Transformation,Fuel transformation,Steam methane reforming with CCS,EU,E,TR,HY2,MR,CS,EUETRHY2MRCS,Natural gas,EUENGS,Hydrogen,EUEHY2,,,,
Energy,Electricity,Generation,Coal PP,EU,E,EG,COA,PP,00,EUEEGCOAPP00,Coal,EUECOA,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Coal CHP,EU,E,HG,COA,CH,00,EUEHGCOACH00,Coal,EUECOA,Electricity & Heat,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Coal PP with CCS,EU,E,EG,COA,PP,CS,EUEEGCOAPPCS,Coal,EUECOA,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Gas PP,EU,E,EG,NGS,PP,00,EUEEGNGSPP00,Gas,EUENGS,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Gas CHP,EU,E,HG,NGS,CH,00,EUEHGNGSCH00,Natural gas,EUENGS,Electricity & Heat,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Gas PP with CCS,EU,E,EG,NGS,PP,CS,EUEEGNGSPPCS,Gas,EUENGS,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Diesel PP,EU,E,EG,DSL,PP,00,EUEEGDSLPP00,Diesel,EUEDSL,Electricity,EUESEL,,,,
Energy,Electricity,Generation,HFO PP,EU,E,EG,HFO,PP,00,EUEEGHFOPP00,HFO,EUEHFO,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Oil CHP,EU,E,HG,OIL,CH,00,EUEHGOILCH00,Diesel,EUEDSL,Electricity & Heat,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Nuclear PP,EU,E,EG,URA,PP,00,EUEEGURAPP00,Uranium,EUEURA,Electricity,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Hydro PP,EU,E,EG,WAT,PP,00,EUEEGWATPP00,Water,EUEWAT,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Biomass PP,EU,E,EG,BIO,PP,00,EUEEGBIOPP00,Biomass,EUEBIO,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Biomass CHP,EU,E,HG,BIO,CH,00,EUEHGBIOCH00,Biomass,EUEBIO,Electricity & Heat,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Biomass PP with CCS,EU,E,EG,BIO,PP,CS,EUEEGBIOPPCS,Biomass,EUEBIO,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Geothermal,EU,E,EG,GEO,PP,00,EUEEGGEOPP00,,,Electricity & Heat,EUESEL & EUEHEA,,,,
Energy,Electricity,Generation,Solar PV,EU,E,EG,SPV,PP,00,EUEEGSPVPP00,Solar,EUESPV,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Solar PV rooftop,EU,E,EG,SPV,PP,DS,EUEEGSPVPPDS,Solar,EUESPV,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Solar CSP,EU,E,EG,STH,PP,00,EUEEGSTHPP00,Solar,EUESTH,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Wind onshore,EU,E,EG,WON,PP,00,EUEEGWONPP00,Wind,EUEWON,Electricity,EUESEL,,,,
Energy,Electricity,Generation,Wind offshore,EU,E,EG,WOF,PP,00,EUEEGWOFPP00,Wind,EUEWOF,Electricity,EUESEL,,,,
Energy,Electricity,Grid networks,Transmission and distribution,EU,E,GN,ELC,TD,00,EUEGNELCTD00,Electricity,EUESEL,Final electricity,EUEFEL,,,,
Energy,Electricity,Grid networks,Electricity supply to water,EU,E,GN,ELC,TD,WT,EUEGNELCTDWT,Final electricity,EUEFEL,Final electricity - agriculture,EUWELC,,,,
Energy,Electricity,Grid networks,Electricity supply to agriculture/water,EU,E,GN,ELC,TD,AG,EUEGNELCTDAG,Final electricity,EUEFEL,Final electricity - agriculture,EULELC,,,,
Energy,Electricity,Grid networks,Interconnector,EU,E,GN,ELC,XX,IC,EUEGNELCXXIC,Electricity,EUESEL,Final electricity,EUEXEL,,,,
Energy,Storage,Storage,Pumped-hydro,EU,E,ST,ELC,PD,HY,EUESTELCPDHY,Electricity,EUESEL,Electricity,EUESEL,,,,
Energy,Storage,Storage,Batteries,EU,E,ST,ELC,BT,00,EUESTELCBT00,Electricity,EUESEL,Electricity,EUESEL,,,,
Energy,Storage,Storage,Hydrogen storage,EU,E,ST,HY2,00,00,EUESTHY20000,Hydrogen,EUEHY2,Hydrogen,EUEHY2,,,,
Energy,Transport,Electric charging,Electric charging,EU,E,GN,ELC,CH,00,EUEGNELCCH00,Electricity,EUEFEL,Electricity,EUTELC,,,,
Energy,Transport,Passenger road - vehicles,Gasoline vehicles,EU,E,PT,GSL,VP,00,EUEPTGSLVP00,Blended Gasoline,EUTGSB,Passenger-km or veh-km,EUEPKM,Incorporating passenger travel with motorcycles within passenger vehicles,,,
Energy,Transport,Passenger road - vehicles,Diesel vehicles,EU,E,PT,DSL,VP,00,EUEPTDSLVP00,Blended Diesel,EUTDSB,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,CNG/LNG vehicles,EU,E,PT,NGS,VP,00,EUEPTNGSVP00,CNG/LNG,EUTNGS,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,LPG vehicles,EU,E,PT,LPG,VP,00,EUEPTLPGVP00,LPG,EUTLPG,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,Hybrid electric vehicles,EU,E,PT,GSL,VP,HB,EUEPTGSLVPHB,Blended Gasoline/Diesel,EUTGSB,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,Plug-in electric vehicles,EU,E,PT,GSL,VP,PH,EUEPTGSLVPPH,Blended Gasoline/Diesel & Electricity,EUTGSB & EUTELC,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,Battery electric vehicles,EU,E,PT,ELC,VP,BT,EUEPTELCVPBT,Electricity,EUTELC,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - vehicles,Hydrogen fuel cell vehicles,EU,E,PT,HY2,VP,FC,EUEPTHY2VPFC,Hydrogen,EUTHY2,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - bus,Diesel bus,EU,E,PT,DSL,BU,00,EUEPTDSLBU00,Blended Diesel,EUTDSB,Passenger-km or veh-km,EUEBKM,,,,
Energy,Transport,Passenger road - bus,CNG bus,EU,E,PT,NGS,BU,00,EUEPTNGSBU00,CNG,EUTNGS,Passenger-km or veh-km,EUEBKM,,,,
Energy,Transport,Passenger road - bus,Electric bus,EU,E,PT,ELC,BU,BT,EUEPTELCBUBT,Electricity,EUTELC,Passenger-km or veh-km,EUEBKM,,,,
Energy,Transport,Passenger road - bus,Hydrogen fuel cell bus,EU,E,PT,HY2,BU,FC,EUEPTHY2BUFC,Hydrogen,EUTHY2,Passenger-km or veh-km,EUEBKM,,,,
Energy,Transport,Freight road - light trucks,Gasoline light trucks,EU,E,FT,GSL,LC,00,EUEFTGSLLC00,Blended Gasoline,EUTGSB,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,Diesel light trucks,EU,E,FT,DSL,LC,00,EUEFTDSLLC00,Blended Diesel,EUTDSB,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,CNG/LNG light trucks,EU,E,FT,NGS,LC,00,EUEFTNGSLC00,CNG/LNG,EUTNGS,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,Hybrid electric light trucks,EU,E,FT,DSL,LC,HB,EUEFTDSLLCHB,Blended Gasoline/Diesel,EUTDSB,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,Plug-in electric light trucks,EU,E,FT,DSL,LC,PH,EUEFTDSLLCPH,Blended Gasoline/Diesel & Electricity,EUTDSB & EUTELC,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,Battery electric light trucks,EU,E,FT,ELC,LC,BT,EUEFTELCLCBT,Electricity,EUTELC,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - light trucks,Hydrogen fuel cell light trucks,EU,E,FT,HY2,LC,FC,EUEFTHY2LCFC,Hydrogen,EUTHY2,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - heavy trucks,Diesel heavy trucks,EU,E,FT,DSL,HD,00,EUEFTDSLHD00,Blended Diesel,EUTDSB,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Freight road - heavy trucks,CNG/LNG heavy trucks,EU,E,FT,NGS,HD,00,EUEFTNGSHD00,CNG/LNG,EUTNGS,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Freight road - heavy trucks,Hybrid electric heavy trucks,EU,E,FT,DSL,HD,HB,EUEFTDSLHDHB,Blended Gasoline/Diesel,EUTDSB,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Freight road - heavy trucks,Battery electric heavy trucks,EU,E,FT,ELC,HD,BT,EUEFTELCHDBT,Electricity,EUTELC,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Freight road - heavy trucks,Hydrogen fuel cell heavy trucks,EU,E,FT,HY2,HD,FC,EUEFTHY2HDFC,Hydrogen,EUTHY2,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Passenger rail,Diesel train,EU,E,PT,DSL,RL,00,EUEPTDSLRL00,Blended Diesel,EUTDSB,Passenger-km or veh-km,EUERKM,,,,
Energy,Transport,Passenger rail,Electric train,EU,E,PT,ELC,RL,00,EUEPTELCRL00,Electricity,EUEFEL,Passenger-km or veh-km,EUERKM,,,,
Energy,Transport,Freight rail,Diesel train,EU,E,FT,DSL,RL,00,EUEFTDSLRL00,Blended Diesel,EUTDSB,tonne-km or veh-km,EUEFKM,,,,
Energy,Transport,Freight rail,Electric train,EU,E,FT,ELC,RL,00,EUEFTELCRL00,Electricity,EUEFEL,tonne-km or veh-km,EUEFKM,,,,
Energy,Transport,Aviation,Kerosene planes,EU,E,AV,KRS,00,00,EUEAVKRS0000,Kerosene,EUEKRS,Passenger-km or veh-km,EUEAKM,,,,
Energy,Transport,Aviation,Electric planes,EU,E,AV,ELC,00,00,EUEAVELC0000,Electricity,EUTELC,Passenger-km or veh-km,EUEAKM,,,,
Energy,Transport,Aviation,Hydrogen planes,EU,E,AV,HY2,00,00,EUEAVHY20000,Hydrogen,EUTHY2,Passenger-km or veh-km,EUEAKM,,,,
Energy,Transport,Shipping/Maritime,Oil vessels,EU,E,MR,OIL,00,00,EUEMROIL0000,Blended bunkering oil with biofuel,EUMOIB,Shipping activity,EUEMKM,,,,
Energy,Transport,Shipping/Maritime,Gas vessels,EU,E,MR,NGS,00,00,EUEMRNGS0000,Gas,EUMNGS,Shipping activity,EUEMKM,,,,
Energy,Transport,Shipping/Maritime,Hydrogen/syn fuel vessels,EU,E,MR,HY2,00,00,EUEMRHY20000,Hydrogen/syn fuels,EUMHY2,Shipping activity,EUEMKM,,,,
Energy,Buildings,Space heating & hot water,Oil boiler,EU,E,BD,OIL,BR,00,EUEBDOILBR00,Oil,EUBOIL,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Gas boiler,EU,E,BD,NGS,BR,00,EUEBDNGSBR00,Gas,EUBNGS,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Coal boiler,EU,E,BD,COA,BR,00,EUEBDCOABR00,Coal,EUBCOA,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Biomass boiler,EU,E,BD,BIO,BR,00,EUEBDBIOBR00,Biomass,EUBBIO,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Electric furnace,EU,E,BD,ELC,FC,00,EUEBDELCFC00,Electricity,EUEFEL,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Heat pump,EU,E,BD,ELC,HP,00,EUEBDELCHP00,Electricity,EUEFEL,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,Solar thermal,EU,E,BD,STH,RP,00,EUEBDSTHRP00,Solar,EUESTH,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & hot water,District heating,EU,E,BD,HEA,DH,00,EUEBDHEADH00,Final Heat,EUEHEA,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space heating & cooling,Insulation and renovation (low),EU,E,BD,000,EE,LO,EUEBD000EELO,,,Useful heat,EUEUHT & EUEUCL,,,,
Energy,Buildings,Space heating & cooling,Insulation and renovation (medium),EU,E,BD,000,EE,ME,EUEBD000EEME,,,Useful heat,EUEUHT & EUEUCL,,,,
Energy,Buildings,Space heating & cooling,Insulation and renovation (high),EU,E,BD,000,EE,HI,EUEBD000EEHI,,,Useful heat,EUEUHT & EUEUCL,,,,
Energy,Buildings,Space cooling,Heat pump,EU,E,BD,ELC,HP,00,EUEBDELCHP00,Electricity,EUEFEL,Useful energy for cooling,EUEUCL,,,,
Energy,Buildings,Cooking,LPG stove,EU,E,BD,LPG,SV,00,EUEBDLPGSV00,LPG,EUBLPG,Useful energy for cooking,EUEUCK,,,,
Energy,Buildings,Cooking,Gas stove,EU,E,BD,NGS,SV,00,EUEBDNGSSV00,Gas,EUBNGS,Useful energy for cooking,EUEUCK,,,,
Energy,Buildings,Cooking,Electric stove,EU,E,BD,ELC,SV,00,EUEBDELCSV00,Electricity,EUEFEL,Useful energy for cooking,EUEUCK,,,,
Energy,Buildings,Lighting & electrical appliances,General appliances,EU,E,BD,ELC,AP,00,EUEBDELCAP00,Electricity,EUEFEL,"Useful energy for Lighting, sound etc",EUEUSE,,,,
Energy,Industry,Iron & steel,Oil boiler/combustion,EU,E,IN,OIL,FC,0I,EUEINOILFC0I,Oil ,EUIOIL,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Coal boiler/combustion,EU,E,IN,COA,FC,0I,EUEINCOAFC0I,Coal ,EUICOA,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CI,EUEINCOAFCCI,Coal  ,EUICOA,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Gas boiler/combustion,EU,E,IN,NGS,FC,0I,EUEINNGSFC0I,Gas ,EUINGS,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CI,EUEINNGSFCCI,Gas  ,EUINGS,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0I,EUEINBIOFC0I,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Electric boiler/combustion,EU,E,IN,ELC,FC,0I,EUEINELCFC0I,Electric ,EUEFEL,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0I,EUEINHY2FC0I,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Iron & steel,Solar thermal,EU,E,IN,STH,00,0I,EUEINSTH000I,Solar,EUESTH,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Chemical & petrochemical,Oil boiler/combustion,EU,E,IN,OIL,FC,0C,EUEINOILFC0C,Oil ,EUIOIL,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Coal boiler/combustion,EU,E,IN,COA,FC,0C,EUEINCOAFC0C,Coal ,EUICOA,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CC,EUEINCOAFCCC,Coal  ,EUICOA,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Gas boiler/combustion,EU,E,IN,NGS,FC,0C,EUEINNGSFC0C,Gas ,EUINGS,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CC,EUEINNGSFCCC,Gas  ,EUINGS,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0C,EUEINBIOFC0C,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Electric boiler/combustion,EU,E,IN,ELC,FC,0C,EUEINELCFC0C,Electric ,EUEFEL,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0C,EUEINHY2FC0C,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Chemical & petrochemical,Solar thermal,EU,E,IN,STH,00,0C,EUEINSTH000C,Solar,EUESTH,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Non-metallic minerals,Oil boiler/combustion,EU,E,IN,OIL,FC,0N,EUEINOILFC0N,Oil ,EUIOIL,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Coal boiler/combustion,EU,E,IN,COA,FC,0N,EUEINCOAFC0N,Coal ,EUICOA,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CN,EUEINCOAFCCN,Coal  ,EUICOA,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Gas boiler/combustion,EU,E,IN,NGS,FC,0N,EUEINNGSFC0N,Gas ,EUINGS,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CN,EUEINNGSFCCN,Gas  ,EUINGS,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0N,EUEINBIOFC0N,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Electric boiler/combustion,EU,E,IN,ELC,FC,0N,EUEINELCFC0N,Electric ,EUEFEL,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0N,EUEINHY2FC0N,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEN,,,,
Energy,Industry,Non-metallic minerals,Solar thermal,EU,E,IN,STH,00,0N,EUEINSTH000N,Solar,EUESTH,Useful energy/heat,EUIUEN,,,,
Energy,Industry,"Food, beverages & tobacco",Oil boiler/combustion,EU,E,IN,OIL,FC,0F,EUEINOILFC0F,Oil ,EUIOIL,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Coal boiler/combustion,EU,E,IN,COA,FC,0F,EUEINCOAFC0F,Coal ,EUICOA,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CF,EUEINCOAFCCF,Coal  ,EUICOA,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Gas boiler/combustion,EU,E,IN,NGS,FC,0F,EUEINNGSFC0F,Gas ,EUINGS,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CF,EUEINNGSFCCF,Gas  ,EUINGS,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0F,EUEINBIOFC0F,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Electric boiler/combustion,EU,E,IN,ELC,FC,0F,EUEINELCFC0F,Electric ,EUEFEL,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0F,EUEINHY2FC0F,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Food, beverages & tobacco",Solar thermal,EU,E,IN,STH,00,0F,EUEINSTH000F,Solar,EUESTH,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Paper, pulp & printing",Oil boiler/combustion,EU,E,IN,OIL,FC,0P,EUEINOILFC0P,Oil ,EUIOIL,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Coal boiler/combustion,EU,E,IN,COA,FC,0P,EUEINCOAFC0P,Coal ,EUICOA,Useful energy/heat,EUIUEP,,,,
